
Frame 1:

Frame 2:

Frame 3:
1: person           93% - Location - xc:   251, yc:   254, width:    19, height:    42
2: person           90% - Location - xc:   336, yc:   198, width:    17, height:    38
3: person           89% - Location - xc:   387, yc:   285, width:    16, height:    45
4: person           85% - Location - xc:  1060, yc:   280, width:    19, height:    41
5: person           84% - Location - xc:   529, yc:   195, width:    13, height:    31
6: person           84% - Location - xc:   657, yc:   458, width:    19, height:    53
7: person           84% - Location - xc:   998, yc:   355, width:    20, height:    45
8: person           81% - Location - xc:  1174, yc:   248, width:    20, height:    43
9: person           76% - Location - xc:   917, yc:   306, width:    22, height:    44
10: person           73% - Location - xc:   876, yc:   228, width:    16, height:    31
11: person           60% - Location - xc:   643, yc:   368, width:  1067, height:   507
12: person           72% - Location - xc:  1228, yc:   308, width:    21, height:    43
13: person           66% - Location - xc:   200, yc:   379, width:    19, height:    55
14: person           63% - Location - xc:  1090, yc:   205, width:    19, height:    34
15: person           57% - Location - xc:   199, yc:   313, width:    16, height:    39

Frame 4:
1: person           93% - Location - xc:   252, yc:   254, width:    18, height:    42
2: person           90% - Location - xc:   336, yc:   198, width:    17, height:    38
3: person           90% - Location - xc:   387, yc:   285, width:    17, height:    45
4: person           86% - Location - xc:   657, yc:   458, width:    19, height:    53
5: person           85% - Location - xc:  1060, yc:   279, width:    20, height:    41
6: person           84% - Location - xc:   529, yc:   195, width:    13, height:    31
7: person           83% - Location - xc:   998, yc:   355, width:    20, height:    45
8: person           79% - Location - xc:  1174, yc:   248, width:    19, height:    45
9: person           77% - Location - xc:   917, yc:   306, width:    22, height:    44
10: person           75% - Location - xc:   876, yc:   228, width:    16, height:    31
11: person           74% - Location - xc:  1229, yc:   308, width:    20, height:    45
12: person           60% - Location - xc:   644, yc:   368, width:  1066, height:   505
13: person           65% - Location - xc:   200, yc:   379, width:    19, height:    55
14: person           63% - Location - xc:  1091, yc:   205, width:    18, height:    34
16: person           55% - Location - xc:   199, yc:   314, width:    16, height:    40

Frame 5:
1: person           93% - Location - xc:   252, yc:   253, width:    19, height:    43
2: person           90% - Location - xc:   387, yc:   285, width:    17, height:    45
3: person           90% - Location - xc:   336, yc:   198, width:    17, height:    38
4: person           86% - Location - xc:   658, yc:   459, width:    18, height:    54
5: person           85% - Location - xc:  1060, yc:   279, width:    20, height:    41
6: person           83% - Location - xc:   529, yc:   195, width:    13, height:    31
7: person           84% - Location - xc:   998, yc:   355, width:    21, height:    45
8: person           80% - Location - xc:   917, yc:   306, width:    22, height:    46
9: person           78% - Location - xc:  1174, yc:   248, width:    19, height:    45
10: person           76% - Location - xc:   876, yc:   228, width:    16, height:    31
