N° Frame;Accuracy g2;;;
0;0;;;
1;0;;;
2;0;;;
3;90;;;
4;90;;;
5;90;;;
6;90;;;
7;90;;;
8;91;;;
9;92;;;
10;92;;;
11;92;;;
12;92;;;
13;92;;;
14;91;;;
15;91;;;
16;91;;;
17;92;;;
18;92;;;
19;92;;;
20;92;;;
21;91;;;
22;90;;;
23;91;;;
24;91;;;
25;90;;;
26;90;;;
27;89;;;
28;89;;;
29;88;;;
30;87;;;
31;86;;;
32;85;;;
33;86;;;
34;84;;;
35;81;;;
36;79;;;
37;79;;;
38;80;;;
39;80;;;
40;79;;;
41;79;;;
42;80;;;
43;79;;;
44;76;;;
45;72;;;
46;69;;;
47;66;;;
48;51;;;
49;54;;;
50;56;;;
51;56;;;
52;56;;;
53;56;;;
54;56;;;
55;56;;;
56;56;;;
57;56;;;
58;60;;;
59;65;;;
60;69;;;
61;72;;;
62;76;;;
63;75;;;
64;72;;;
65;68;;;
66;69;;;
67;71;;;
68;71;;;
69;72;;;
70;71;;;
71;73;;;
72;76;;;
73;79;;;
74;82;;;
75;84;;;
76;85;;;
77;85;;;
78;84;;;
79;84;;;
80;84;;;
81;85;;;
82;85;;;
83;85;;;
84;83;;;
85;83;;;
86;84;;;
87;86;;;
88;86;;;
89;88;;;
90;89;;;
91;89;;;
92;88;;;
93;86;;;
94;85;;;
95;84;;;
96;85;;;
97;84;;;
98;85;;;
99;83;;;
100;82;;;
101;81;;;
102;81;;;
103;80;;;
104;82;;;
105;83;;;
106;83;;;
107;80;;;
108;79;;;
109;80;;;
110;80;;;
111;78;;;
112;78;;;
113;79;;;
114;80;;;
115;79;;;
116;79;;;
117;78;;;
118;74;;;
119;70;;;
120;69;;;
121;64;;;
122;50;;;
;;;;
;;;;
;;;;
