N° Frame;Accuracy g7
0;0
1;0
2;0
3;84
4;83
5;84
6;86
7;89
8;90
9;92
10;92
11;93
12;93
13;93
14;93
15;94
16;94
17;94
18;94
19;94
20;94
21;95
22;94
23;94
24;94
25;94
26;94
27;94
28;94
29;94
30;94
31;94
32;95
33;95
34;95
35;95
36;95
37;95
38;95
39;95
40;95
41;95
42;95
43;94
44;94
45;94
46;93
47;93
48;93
49;94
50;95
51;95
52;95
53;96
54;96
55;95
56;95
57;94
58;94
59;95
60;95
61;95
62;95
63;94
64;94
65;93
66;92
67;91
68;91
69;89
70;87
71;84
72;79
73;73
74;69
75;65
76;61
77;59
78;60
79;57
80;56
81;57
82;65
83;67
84;65
85;71
86;79
87;85
88;85
89;83
90;81
91;78
92;73
93;73
94;76
95;79
96;79
97;76
98;78
99;80
100;85
101;88
102;89
103;90
104;89
105;89
106;90
107;92
108;94
109;95
110;95
111;95
112;95
113;96
114;96
115;97
116;97
117;97
118;97
119;97
120;96
121;96
122;96
